mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestregressor__max_depth,param_randomforestregressor__max_samples,param_randomforestregressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.7540245850880941,0.020840898764297133,0.03603490193684896,0.0030629312858536334,2,0.8,100,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.8, 'randomforestregressor__n_estimators': 100}",0.5977804127601577,0.6777260716463509,0.6800121425925758,0.6518395423330282,0.03823696856642875,39
1.7352375189463298,0.16797397264645428,0.05313873291015625,0.004982524481914901,2,0.8,200,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.8, 'randomforestregressor__n_estimators': 200}",0.598466741955883,0.6786292713493438,0.6830726116100547,0.6533895416384272,0.03887862533487837,35
2.5001328786214194,0.211376592651544,0.09157943725585938,0.02933467804835189,2,0.8,300,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.8, 'randomforestregressor__n_estimators': 300}",0.5975753341420917,0.6758514748708777,0.6812641857134045,0.6515636649087914,0.03823941469127653,40
3.392552455266317,0.20017017414439445,0.1616216500600179,0.006605269429343392,2,0.8,400,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.8, 'randomforestregressor__n_estimators': 400}",0.597527610342147,0.6769728512070459,0.6819598875460078,0.6521534496984002,0.038679920517782185,38
6.007312138875325,0.19365360877406582,0.19292696317036948,0.00787394472618485,2,0.8,500,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.8, 'randomforestregressor__n_estimators': 500}",0.5979018121986095,0.6771983887799181,0.6816729809026998,0.6522577272937425,0.03847882208036254,37
1.2599945068359375,0.04273448610848036,0.05828777949015299,0.004721088783074031,2,0.9,100,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 100}",0.5946343911730745,0.6747270880705176,0.6783333357179424,0.6492316049871781,0.03863412198839134,45
2.6764418284098306,0.12136998629970047,0.10287586847941081,0.014158094275241293,2,0.9,200,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 200}",0.5964204242674802,0.6750997149596247,0.6811875815669337,0.6509025735980128,0.03860478361302688,41
3.9442708492279053,0.06314227849098203,0.11953401565551758,0.0011149294534268045,2,0.9,300,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 300}",0.5968810788386609,0.6730744230165111,0.6788621426303628,0.6496058814951783,0.03735686492876212,44
5.35698668162028,0.1817181387083001,0.15868051846822104,0.010369855789516066,2,0.9,400,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 400}",0.5964267360802447,0.6742079118868523,0.6794751943123506,0.6500366140931492,0.03796884978906057,43
6.76863169670105,0.23772199858910642,0.21403010686238608,0.03568339394983117,2,0.9,500,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 500}",0.5964861020370904,0.6742566584180537,0.6796630815836795,0.6501352806796078,0.037999852013957613,42
1.2235256830851238,0.07335049974657314,0.05025076866149902,0.002762261361906588,2,0.7,100,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 100}",0.5992616075605199,0.6794516994944854,0.6823636345933264,0.6536923138827772,0.03850667634371846,34
2.3440513610839844,0.07519740000411727,0.10465963681538899,0.01322424584134535,2,0.7,200,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 200}",0.5986942337527847,0.6806828092589924,0.6847647905972942,0.6547139445363571,0.039646955663858,31
3.537633021672567,0.16467978983088072,0.1308276653289795,0.01747780408326892,2,0.7,300,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 300}",0.5973781611081921,0.6796388726089666,0.6828108635617969,0.6532759657596519,0.03954692407162895,36
4.90747348467509,0.2457312350360981,0.16460959116617838,0.008425104668853312,2,0.7,400,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 400}",0.5975367631346769,0.6812516160222079,0.6840307080684926,0.6542730290751257,0.040134637931172286,33
6.247170130411784,0.4341867654993945,0.22135527928670248,0.0336882137815998,2,0.7,500,"{'randomforestregressor__max_depth': 2, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 500}",0.5984355437718338,0.6810886661058766,0.6839069943548313,0.6544770680775139,0.039644041825624615,32
1.567074139912923,0.012927400995735607,0.056856632232666016,0.006102034577222055,3,0.8,100,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_samples': 0.8, 'randomforestregressor__n_estimators': 100}",0.6499041275793433,0.7518666351326986,0.7380839643956152,0.7132849090358858,0.04516881739056419,28
3.4488706588745117,0.17103657108556578,0.09928957621256511,0.004472360583351413,3,0.8,200,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_samples': 0.8, 'randomforestregressor__n_estimators': 200}",0.6517700104045583,0.7536149413499911,0.7399316724051861,0.7151055413865786,0.04513202909859616,22
